fecha;categoría;comentario;importe;forma pago
27/05/2023;supermercado;;11,64;TC
27/05/2023;comisalidas ;Trx de 35,75;15,75;TC
28/05/2023;farmacia;Crema Neutrogena;12,09;TC
30/05/2023;streaming;HBO;2,25;T
30/05/2023;mant. casa;Mantenimiento caldera;5,14;T
30/05/2023;transp. público;;0,53;P
30/05/2023;supermercado;;31,17;TC
30/05/2023;transp. público;;0,53;P
31/05/2023;comisalidas ;;15,70;TC
Total: 39669.97
